2026-03-26 18:20:16 INFO  BaseTestPortal - successfully login
2026-03-26 18:20:16 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 18:20:16 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 18:20:34 INFO  BaseTestPortal - Clicking verify button
2026-03-26 18:22:04 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 18:22:04 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 18:23:57 INFO  BaseTestPortal - based on rank college filtered successfully
2026-03-26 18:25:18 INFO  BaseTestPortal - chaeck the news and renk also
2026-03-26 18:32:34 INFO  BaseTestPortal - successfully login
2026-03-26 18:32:34 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 18:32:34 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 18:32:53 INFO  BaseTestPortal - Clicking verify button
2026-03-26 18:34:23 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 18:34:23 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 18:36:12 INFO  BaseTestPortal - based on rank college filtered successfully
2026-03-26 18:37:25 INFO  BaseTestPortal - chaeck the news and renk also
2026-03-26 18:42:18 INFO  BaseTestPortal - successfully login
2026-03-26 18:42:18 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-26 18:42:18 INFO  BaseTestPortal - Waiting for verify button
2026-03-26 18:42:37 INFO  BaseTestPortal - Clicking verify button
2026-03-26 18:44:01 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-26 18:44:01 INFO  BaseTestPortal - successfully otp verified 
2026-03-26 18:45:43 INFO  BaseTestPortal - based on rank college filtered successfully
2026-03-26 18:46:41 INFO  BaseTestPortal - chaeck the news and renk also
2026-03-27 11:05:38 INFO  BaseTestPortal - successfully login
2026-03-27 11:05:38 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-27 11:05:38 INFO  BaseTestPortal - Waiting for verify button
2026-03-27 11:05:57 INFO  BaseTestPortal - Clicking verify button
2026-03-27 11:07:29 INFO  BaseTestPortal - Waiting for dashboard (book now)
2026-03-27 11:07:29 INFO  BaseTestPortal - successfully otp verified 
2026-03-27 13:13:16 INFO  BaseTestPortal - successfully login
2026-03-27 13:13:16 INFO  BaseTestPortal - ===== Starting OTP Verification =====
2026-03-27 13:13:16 INFO  BaseTestPortal - Waiting for verify button
2026-03-27 13:13:35 INFO  BaseTestPortal - Clicking verify button
2026-03-27 13:14:37 INFO  BaseTestPortal - successfully login
2026-03-27 13:14:37 INFO  BaseTestPortal - ===== Starting OTP Verification =====
